bom,bom版本,機台,machine_ver,製程,順序,process_ver,version,CREATE_DATE,factoryNo,HIBERVERSION,LAST_UPDATE_TIMESTAMP,lastVersion,mark,compareOperationSpec,effectForAdditinalProcess,estimatedEnterPeople,loadingTime,matchedOperationSpec,note,occupiedProductionTimeOnLoading,occupiedProductionTimeOnUnloading,occupiedProductionTimeOnWorking,parallelProcess,peopleInSOP,periodForAmountOfLot,postprocessTime,preprocessTime,quantityOfALot,ratioOfLearning,排程運算比率(ratioOfSchedulingCaculation),sameRegionAsPreProcess,studyTime,timeOfWarnUp,unitOfTime,unloadingTime,wayOfWorkingWithPreProcess,工作時間(workingTime),changingLineGroup_Id,productionGroup_Id,指定機台,限制機台,前置時間
BCRE25256DN,D,CR-051,0,PDGF,1,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,8.6,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,CR-046,0,PDCA,2,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,16.04,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,CR-022,0,PDCA,2,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,16.04,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,SP-007,0,PDSA,4,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,19.5,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,SP-006,0,PDSA,4,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,19.5,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,SP-005,0,PDSA,4,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,19.5,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,SP-004,0,PDSA,4,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,19.5,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,PL-024,0,PDPS,5,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,20,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,DR-007,0,PDBA,6,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,15.94,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,DR-006,0,PDBA,6,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,15.94,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,DR-005,0,PDBA,6,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,15.94,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,DR-004,0,PDBA,6,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,15.94,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,DR-003,0,PDBA,6,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,15.94,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,DR-001,0,PDBA,6,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,15.94,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,EX-019,0,PDEE,7,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,65.06,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,EX-018,0,PDEE,7,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,65.06,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,EX-016,0,PDEE,7,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,65.06,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,EX-017,0,PDEE,7,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,65.06,NULL,NULL,NULL,NULL,NULL
BCRE25256DN,D,EX-015,0,PDEE,7,0,0,01:48.2,AA,0,2018/3/1 12:00:00,1,NULL,,0,0,0,,,1,1,1,0,1,0,0,0,24,1,100,0,0,0,0,0,0,65.06,NULL,NULL,NULL,NULL,NULL
