id,name,type,useNextProcessEstimateStartDateTime,useNextProcessLimitHours,lastUpdatedDate
1,試漏看板,type,0,0,2018/10/20 11:11:00
2,中心引孔看板,type,0,0,2018/10/20 11:11:00
3,內部除鏽看板,type,0,0,2018/10/20 11:11:00
4,前處理看板,type,0,0,2018/10/20 11:11:00
5,包裝看板,type,0,0,2018/10/20 11:11:00
6,包裝入庫看板,type,0,0,2018/10/20 11:11:11
7,吸氣精車看板,type,0,0,2018/10/20 11:11:11
8,噴砂看板,type,0,0,2018/10/20 11:11:11
9,塗裝入看板,type,0,0,2018/10/20 11:11:11
10,塗裝出看板,type,0,0,2018/10/20 11:11:11
11,外觀組立看板,type,0,0,2018/10/20 11:11:11
12,後處理看板,type,0,0,2018/10/20 11:11:11
13,成品檢驗看板,type,0,0,2018/10/20 11:11:11
14,成檢看板,type,0,0,2018/10/20 11:11:11
15,排氣精車看板,type,0,0,2018/10/20 11:11:11
16,機殼組立看板,type,0,0,2018/10/20 11:11:11
17,油分組立看板,type,0,0,2018/10/20 11:11:11
18,洗油洗淨看板,type,0,0,2018/10/20 11:11:11
19,洗淨看板,type,0,0,2018/10/20 11:11:11
20,測試看板,type,0,0,2018/10/20 11:11:11
21,研磨看板,type,0,0,2018/10/20 11:11:11
22,精銑加工看板,type,0,0,2018/10/20 11:11:11
23,組裝看板,type,0,0,2018/10/20 11:11:11
24,胚料粗車看板,type,0,0,2018/10/20 11:11:11
25,腳座加工看板,type,0,0,2018/10/20 11:11:11
26,試車看板,type,0,0,2018/10/20 11:11:11
27,車削看板,type,0,0,2018/10/20 11:11:11
28,軸座組立看板,type,0,0,2018/10/20 11:11:11
29,軸徑看板,type,0,0,2018/10/20 11:11:11
30,轉齒粗銑看板,type,0,0,2018/10/20 11:11:11
31,進氣加工看板,type,0,0,2018/10/20 11:11:11
32,配對看板,type,0,0,2018/10/20 11:11:11
33,銑削看板,type,0,0,2018/10/20 11:11:11
34,鍍膜看板,type,0,0,2018/10/20 11:11:11
35,鑽孔看板,type,0,0,2018/10/20 11:11:11
36,馬達組立看板,type,0,0,2018/10/20 11:11:11
37,齒形加工看板,type,0,0,2018/10/20 11:11:11
38,EO1,type,0,0,2018/10/20 11:11:11
