區域名稱(name),代碼(no),區域類別(category),倉庫(warehouse_id),(locatorOrginName),(locatorOrginId),lastUpdatedDate
DB1,1,APS,,,,2018/3/1 12:00:00
D1F,2,APS,,,,2018/3/1 12:00:00
D2F,3,APS,,,,2018/3/1 12:00:00
D4F,4,APS,,,,2018/3/1 12:00:00
C1F,5,APS,,,,2018/3/1 12:00:00
DM1,6,APS,,,,2018/3/1 12:00:00
D5F,7,APS,,,,2018/3/1 12:00:00
C4F,8,APS,,,,2018/3/1 12:00:00
B2F IS,9,APS,,,,2018/3/1 12:00:00
B2F SSA,10,APS,,,,2018/3/1 12:00:00
C2F,11,APS,,,,2018/3/1 12:00:00
C2F IS,12,APS,,,,2018/3/1 12:00:00
C2F mold,13,APS,,,,2018/3/1 12:00:00
C2F SMT,14,APS,,,,2018/3/1 12:00:00
C3F,15,APS,,,,2018/3/1 12:00:00
C3F IS,16,APS,,,,2018/3/1 12:00:00
C4F,17,APS,,,,2018/3/1 12:00:00
D3F,18,APS,,,,2018/3/1 12:00:00
D3F DC,19,APS,,,,2018/3/1 12:00:00
D3F SMT,20,APS,,,,2018/3/1 12:00:00
D3F 裝晶,21,APS,,,,2018/3/1 12:00:00
IS BE,22,APS,,,,2018/3/1 12:00:00
外包廠(ABC),23,APS,,,,2018/3/1 12:00:00
