組成品號,版本,製程,材料(半成品),版本,用量,係數,lastUpdatedDate,順序
BCRE25256DN,D,PDGF,ACRE25256DN,,1,1,2018/3/1 12:00:00,1
BCRE25256DN,D,PDCA,,,1,1,2018/3/1 12:00:00,2
BCRE25256DN,D,PDSA,PUCU4N0A  M0196,,1,1,2018/3/1 12:00:00,4
BCRE25256DN,D,PDPS,,,1,1,2018/3/1 12:00:00,5
BCRE25256DN,D,PDBA,PHAF5590M1M0213,,1,1,2018/3/1 12:00:00,6
BCRE25256DN,D,PDEE,,,1,1,2018/3/1 12:00:00,7
BCRE25256DN,D,PDDC,,,1,1,2018/3/1 12:00:00,8
BCRE25256DN,D,PDPA,PYE022    M1032,,1,1,2018/3/1 12:00:00,9
BCRE25256DN,D,PDTH,,,1,1,2018/3/1 12:00:00,10
BCRE25256DN,D,PDIS,,,1,1,2018/3/1 12:00:00,11
BCRE25256DN,D,PDMA,P20CALEW3 M0174,,1,1,2018/3/1 12:00:00,12
BCRE25256DN,D,PDIA,,,1,1,2018/3/1 12:00:00,14
BCRE25256DN,D,PDEA,,,1,1,2018/3/1 12:00:00,15
BCRE25256DN,D,PDDT,,,1,1,2018/3/1 12:00:00,16
BCRE25256DN,D,PDAL,,,1,1,2018/3/1 12:00:00,18
BCRE25256DN,D,PDMC,P2CAG23KHPM0174,,1,1,2018/3/1 12:00:00,19
BCRE25256DN,D,PDEB,,,1,1,2018/3/1 12:00:00,21
BCRE25256DN,D,PDDU,,,1,1,2018/3/1 12:00:00,22
BCRE25256DN,D,PDGA,,,1,1,2018/3/1 12:00:00,24
BCRE25256DN,D,PDQ1,PYE132    M1078,,1,1,2018/3/1 12:00:00,25
BCRE25256DN,D,PDIT,,,1,1,2018/3/1 12:00:00,26
BCRE25256DN,D,BXBF,,,1,1,2018/3/1 12:00:00,27
BCRE25256DN,D,BXBB,,,1,1,2018/3/1 12:00:00,28
BCRE25256DN,D,BTB2,,,1,1,2018/3/1 12:00:00,29
BCRE25256DN,D,BTA1,,,1,1,2018/3/1 12:00:00,30
BCRE25256DN,D,BXAL,,,1,1,2018/3/1 12:00:00,31
BCRE25256DN,D,BXC9,,,1,1,2018/3/1 12:00:00,32
BCRE25256DN,D,BXBX,,,1,1,2018/3/1 12:00:00,33
BCRE25256DN,D,BXBY,,,1,1,2018/3/1 12:00:00,34
BCRE25256DN,D,BXC1,,,1,1,2018/3/1 12:00:00,35
BCRE25256DN,D,BXC2,,,1,1,2018/3/1 12:00:00,36
BCRE25256DN,D,BXAE-A,,,1,1,2018/3/1 12:00:00,37
BCRE25256DN,D,BXBW-A,,,1,1,2018/3/1 12:00:00,38
BCRE25256DN,D,BXC3,,,1,1,2018/3/1 12:00:00,39
BCRE25256DN,D,BQAG,,,1,1,2018/3/1 12:00:00,40
BCRE25499ECLAN,X0,PDGF,ACRE25256BN2,,1,1,2018/3/1 12:00:00,1
BCRE25499ECLAN,X0,PDCA,,,1,1,2018/3/1 12:00:00,2
BCRE25499ECLAN,X0,PDSA,PUCU4N0A  M0196,,1,1,2018/3/1 12:00:00,4
BCRE25499ECLAN,X0,PDRF,,,1,1,2018/3/1 12:00:00,5
BCRE25499ECLAN,X0,PDBA,PHAF5590M2M0213,,1,1,2018/3/1 12:00:00,6
BCRE25499ECLAN,X0,PDEE,,,1,1,2018/3/1 12:00:00,7
BCRE25499ECLAN,X0,PDDC,,,1,1,2018/3/1 12:00:00,8
BCRE25499ECLAN,X0,PDPA,PYE022    M1032,,1,1,2018/3/1 12:00:00,9
BCRE25499ECLAN,X0,PDTH,,,1,1,2018/3/1 12:00:00,10
BCRE25499ECLAN,X0,PDIS,,,1,1,2018/3/1 12:00:00,11
BCRE25499ECLAN,X0,PDAB,,,1,1,2018/3/1 12:00:00,12
BCRE25499ECLAN,X0,PDMC,P2CAG23KHPM0174,,1,1,2018/3/1 12:00:00,13
BCRE25499ECLAN,X0,PDEA,,,1,1,2018/3/1 12:00:00,15
BCRE25499ECLAN,X0,PDDT,,,1,1,2018/3/1 12:00:00,16
BCRE25499ECLAN,X0,PDMA,P20CALEW3 M0174,,1,1,2018/3/1 12:00:00,18
BCRE25499ECLAN,X0,PDIA,,,1,1,2018/3/1 12:00:00,20
BCRE25499ECLAN,X0,PDH3,,,1,1,2018/3/1 12:00:00,21
BCRE25499ECLAN,X0,PDDR,,,1,1,2018/3/1 12:00:00,22
BCRE25499ECLAN,X0,PDEZ,,,1,1,2018/3/1 12:00:00,23
BCRE25499ECLAN,X0,PDGA,,,1,1,2018/3/1 12:00:00,25
BCRE25499ECLAN,X0,PDQ1,PYE132    M1078,,1,1,2018/3/1 12:00:00,26
BCRE25499ECLAN,X0,PDIT,,,1,1,2018/3/1 12:00:00,27
BCRE25499ECLAN,X0,BXAL,,,1,1,2018/3/1 12:00:00,28
BCRE25499ECLAN,X0,BXBF,,,1,1,2018/3/1 12:00:00,29
BCRE25499ECLAN,X0,BXBB,,,1,1,2018/3/1 12:00:00,30
BCRE25499ECLAN,X0,BTB2,,,1,1,2018/3/1 12:00:00,31
BCRE25499ECLAN,X0,BTB4,,,1,1,2018/3/1 12:00:00,32
BCRE25499ECLAN,X0,BTA1,,,1,1,2018/3/1 12:00:00,33
BCRE25499ECLAN,X0,BXC9,,,1,1,2018/3/1 12:00:00,34
BCRE25499ECLAN,X0,BXBX,,,1,1,2018/3/1 12:00:00,35
BCRE25499ECLAN,X0,BXBY,,,1,1,2018/3/1 12:00:00,36
BCRE25499ECLAN,X0,BXC1,,,1,1,2018/3/1 12:00:00,37
BCRE25499ECLAN,X0,BXC2,,,1,1,2018/3/1 12:00:00,38
BCRE25499ECLAN,X0,BXAE-A,,,1,1,2018/3/1 12:00:00,39
BCRE25499ECLAN,X0,BXBW-A,,,1,1,2018/3/1 12:00:00,40
BCRE25499ECLAN,X0,BXC3,,,1,1,2018/3/1 12:00:00,41
BCRE25499ECLAN,X0,BQAG,,,1,1,2018/3/1 12:00:00,42
BERTCH08HCSV4B,X2,PDCA,AERTCH08HCSV4B,,1,1,2018/3/1 12:00:00,1
BERTCH08HCSV4B,X2,PDSA,PUCU4N0A1 M0196,,1,1,2018/3/1 12:00:00,3
BERTCH08HCSV4B,X2,PDRF,,,1,1,2018/3/1 12:00:00,4
BERTCH08HCSV4B,X2,PDBA,PHM-4035-1M0018,,1,1,2018/3/1 12:00:00,5
BERTCH08HCSV4B,X2,PDEE,,,1,1,2018/3/1 12:00:00,6
BERTCH08HCSV4B,X2,PDDC,,,1,1,2018/3/1 12:00:00,7
BERTCH08HCSV4B,X2,PDPA,PYE022    M1032,,1,1,2018/3/1 12:00:00,8
BERTCH08HCSV4B,X2,PDAL,,,1,1,2018/3/1 12:00:00,9
BERTCH08HCSV4B,X2,PDT3,,,1,1,2018/3/1 12:00:00,10
BERTCH08HCSV4B,X2,PDQK,,,1,1,2018/3/1 12:00:00,11
BERTCH08HCSV4B,X2,PDGA,,,1,1,2018/3/1 12:00:00,12
BERTCH08HCSV4B,X2,PDTH,,,1,1,2018/3/1 12:00:00,13
BERTCH08HCSV4B,X2,PDIT,,,1,1,2018/3/1 12:00:00,14
BERTCH08HCSV4B,X2,BXBM,,,1,1,2018/3/1 12:00:00,15
BERTCH08HCSV4B,X2,BXBB,,,1,1,2018/3/1 12:00:00,16
BERTCH08HCSV4B,X2,BTB2,,,1,1,2018/3/1 12:00:00,17
BERTCH08HCSV4B,X2,BTA1,,,1,1,2018/3/1 12:00:00,18
BERTCH08HCSV4B,X2,BTB9,,,1,1,2018/3/1 12:00:00,19
BERTCH08HCSV4B,X2,BXC9,,,1,1,2018/3/1 12:00:00,20
BERTCH08HCSV4B,X2,C08G,PER045010RM0192,,1,1,2018/3/1 12:00:00,21
BERTCH08HCSV4B,X2,BXAF,,,1,1,2018/3/1 12:00:00,22
BERTCH08HCSV4B,X2,BXBX,,,1,1,2018/3/1 12:00:00,23
BERTCH08HCSV4B,X2,BXBY,,,1,1,2018/3/1 12:00:00,24
BERTCH08HCSV4B,X2,BXC1,,,1,1,2018/3/1 12:00:00,25
BERTCH08HCSV4B,X2,BXC2,,,1,1,2018/3/1 12:00:00,26
BERTCH08HCSV4B,X2,BXC3,,,1,1,2018/3/1 12:00:00,27
BERTCH08HCSV4B,X2,BQA1,,,1,1,2018/3/1 12:00:00,28
BERTCH08HCSV4B,X2,PDHB,,,1,1,2018/3/1 12:00:00,29
BERTCH08HCSV4B,X2,BQAG,,,1,1,2018/3/1 12:00:00,30
BHITBUA1016C-1,I,PDCA,AHITBUA1016C-1,,1,1,2018/3/1 12:00:00,1
BHITBUA1016C-1,I,PDSA,PUCU4N0A1 M0196,,1,1,2018/3/1 12:00:00,3
BHITBUA1016C-1,I,PDPS,,,1,1,2018/3/1 12:00:00,4
BHITBUA1016C-1,I,PDBA,PHWB3065-1M0004,,1,1,2018/3/1 12:00:00,5
BHITBUA1016C-1,I,PDEE,,,1,1,2018/3/1 12:00:00,6
BHITBUA1016C-1,I,PDDC,,,1,1,2018/3/1 12:00:00,7
BHITBUA1016C-1,I,PDPA,PYE022    M1032,,1,1,2018/3/1 12:00:00,8
BHITBUA1016C-1,I,PDAL,,,1,1,2018/3/1 12:00:00,9
BHITBUA1016C-1,I,PDPJ,PYE104    M1033,,1,1,2018/3/1 12:00:00,10
BHITBUA1016C-1,I,PDTH,,,1,1,2018/3/1 12:00:00,11
BHITBUA1016C-1,I,PDIS,,,1,1,2018/3/1 12:00:00,12
BHITBUA1016C-1,I,BXBV,,,1,1,2018/3/1 12:00:00,13
BHITBUA1016C-1,I,BXBF,,,1,1,2018/3/1 12:00:00,14
BHITBUA1016C-1,I,PDGC,,,1,1,2018/3/1 12:00:00,15
BHITBUA1016C-1,I,BTA1,,,1,1,2018/3/1 12:00:00,16
BHITBUA1016C-1,I,BXAF,,,1,1,2018/3/1 12:00:00,17
BHITBUA1016C-1,I,C08G,PER045010RM0192,,1,1,2018/3/1 12:00:00,18
BHITBUA1016C-1,I,CB00,,,1,1,2018/3/1 12:00:00,19
BHITBUA1016C-1,I,C0KG,PT3970-108M0849,,1,1,2018/3/1 12:00:00,20
BHITBUA1016C-1,I,BXAE,,,1,1,2018/3/1 12:00:00,21
BHITBUA1016C-1,I,BQAG,,,1,1,2018/3/1 12:00:00,22
BIPGP45020073B,O,PDCA,AIPGP45019032,,1,1,2018/3/1 12:00:00,1
BIPGP45020073B,O,PDSA,PUCU4N0A  M0196,,1,1,2018/3/1 12:00:00,3
BIPGP45020073B,O,PDPS,,,1,1,2018/3/1 12:00:00,4
BIPGP45020073B,O,PDBA,PHWB3040-1M0004,,1,1,2018/3/1 12:00:00,5
BIPGP45020073B,O,PDEE,,,1,1,2018/3/1 12:00:00,6
BIPGP45020073B,O,PDDC,,,1,1,2018/3/1 12:00:00,7
BIPGP45020073B,O,PDPA,,,1,1,2018/3/1 12:00:00,8
BIPGP45020073B,O,PDTG,,,1,1,2018/3/1 12:00:00,9
BIPGP45020073B,O,PDIS,,,1,1,2018/3/1 12:00:00,10
BIPGP45020073B,O,PDCB,,,1,1,2018/3/1 12:00:00,11
BIPGP45020073B,O,PDSB,PUCU4N0A  M0196,,1,1,2018/3/1 12:00:00,13
BIPGP45020073B,O,PDQW,,,1,1,2018/3/1 12:00:00,14
BIPGP45020073B,O,PDBB,PHAF5590M1M0213,,1,1,2018/3/1 12:00:00,15
BIPGP45020073B,O,PDEG,,,1,1,2018/3/1 12:00:00,16
BIPGP45020073B,O,PDDD,,,1,1,2018/3/1 12:00:00,17
BIPGP45020073B,O,PDPG,,,1,1,2018/3/1 12:00:00,18
BIPGP45020073B,O,PDAQ,,,1,1,2018/3/1 12:00:00,19
BIPGP45020073B,O,PDTH,,,1,1,2018/3/1 12:00:00,20
BIPGP45020073B,O,PDIT,,,1,1,2018/3/1 12:00:00,21
BIPGP45020073B,O,PDGA,,,1,1,2018/3/1 12:00:00,22
BIPGP45020073B,O,PDPJ,,,1,1,2018/3/1 12:00:00,23
BIPGP45020073B,O,PDIU,,,1,1,2018/3/1 12:00:00,24
