機台編號,機台名稱,機台區域,機台狀態註記,人機倍數,機台換線前置時間,lastUpdatedDate
LS-024,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-028,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-029,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-030,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-036,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-037,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-038,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-039,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-040,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-041,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-042,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-043,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-046,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-047,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-048,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-056,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-057,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-059,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-060,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-071,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-072,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-073,切割機,DB1,,1,0,2018/3/1 12:00:00
LS-066,雷射機,DB1,,1,0,2018/3/1 12:00:00
GC-002,磨屑,DB1,,1,0,2018/3/1 12:00:00
GC-008,磨屑,DB1,,1,0,2018/3/1 12:00:00
GC-009,磨屑,DB1,,1,0,2018/3/1 12:00:00
GC-010,清洗機,DB1,,1,0,2018/3/1 12:00:00
GC-050,清洗機,DB1,,1,0,2018/3/1 12:00:00
CR-031,清洗機,DB1,,1,0,2018/3/1 12:00:00
DM-002,染色機,DB1,,1,0,2018/3/1 12:00:00
HA-001,清洗機,DB1,,1,0,2018/3/1 12:00:00
CR-034,清洗機,DB1,,1,0,2018/3/1 12:00:00
