機台編號,作業方式,機台產能,機台時間,lastUpdatedDate
CR-046,PDCB,1,1,2018/3/1 12:00:00
CR-022,PDCB,1,1,2018/3/1 12:00:00
CR-046,PDCA,1,1,2018/3/1 12:00:00
CR-022,PDCA,1,1,2018/3/1 12:00:00
CR-051,PDGF,1,1,2018/3/1 12:00:00
SP-007,PDSA,1,1,2018/3/1 12:00:00
SP-006,PDSA,1,1,2018/3/1 12:00:00
SP-005,PDSA,1,1,2018/3/1 12:00:00
SP-004,PDSA,1,1,2018/3/1 12:00:00
SP-007,PDSB,1,1,2018/3/1 12:00:00
SP-006,PDSB,1,1,2018/3/1 12:00:00
SP-005,PDSB,1,1,2018/3/1 12:00:00
SP-004,PDSB,1,1,2018/3/1 12:00:00
PL-024,PDPS,1,1,2018/3/1 12:00:00
PL-024,PDQW,1,1,2018/3/1 12:00:00
DR-007,PDBA,1,1,2018/3/1 12:00:00
DR-006,PDBA,1,1,2018/3/1 12:00:00
DR-005,PDBA,1,1,2018/3/1 12:00:00
DR-004,PDBA,1,1,2018/3/1 12:00:00
DR-003,PDBA,1,1,2018/3/1 12:00:00
DR-001,PDBA,1,1,2018/3/1 12:00:00
DR-003,PDBB,1,1,2018/3/1 12:00:00
DR-001,PDBB,1,1,2018/3/1 12:00:00
EX-019,PDEE,1,1,2018/3/1 12:00:00
EX-018,PDEE,1,1,2018/3/1 12:00:00
EX-016,PDEE,1,1,2018/3/1 12:00:00
EX-017,PDEE,1,1,2018/3/1 12:00:00
EX-015,PDEE,1,1,2018/3/1 12:00:00
EX-007,PDEE,1,1,2018/3/1 12:00:00
EX-002,PDEE,1,1,2018/3/1 12:00:00
EX-004,PDEE,1,1,2018/3/1 12:00:00
EX-017,PDEG,1,1,2018/3/1 12:00:00
EX-015,PDEG,1,1,2018/3/1 12:00:00
EX-007,PDEG,1,1,2018/3/1 12:00:00
EX-002,PDEG,1,1,2018/3/1 12:00:00
EX-004,PDEG,1,1,2018/3/1 12:00:00
DM-005,PDDD,1,1,2018/3/1 12:00:00
DM-005,PDDC,1,1,2018/3/1 12:00:00
PL-017,PDPA,1,1,2018/3/1 12:00:00
PL-015,PDPA,1,1,2018/3/1 12:00:00
PL-013,PDPA,1,1,2018/3/1 12:00:00
PL-012,PDPA,1,1,2018/3/1 12:00:00
PL-011,PDPA,1,1,2018/3/1 12:00:00
PL-007,PDPA,1,1,2018/3/1 12:00:00
PL-006,PDPA,1,1,2018/3/1 12:00:00
PL-002,PDPA,1,1,2018/3/1 12:00:00
PL-017,PDPG,1,1,2018/3/1 12:00:00
PL-015,PDPG,1,1,2018/3/1 12:00:00
PL-013,PDPG,1,1,2018/3/1 12:00:00
PL-012,PDPG,1,1,2018/3/1 12:00:00
PL-011,PDPG,1,1,2018/3/1 12:00:00
PL-007,PDPG,1,1,2018/3/1 12:00:00
PL-006,PDPG,1,1,2018/3/1 12:00:00
PL-002,PDPG,1,1,2018/3/1 12:00:00
GP-007,PDH2,1,1,2018/3/1 12:00:00
GP-005,PDH2,1,1,2018/3/1 12:00:00
GP-007,PDAL,1,1,2018/3/1 12:00:00
GP-005,PDAL,1,1,2018/3/1 12:00:00
GP-007,PDAB,1,1,2018/3/1 12:00:00
GP-005,PDAB,1,1,2018/3/1 12:00:00
DK-012,PDH3,1,1,2018/3/1 12:00:00
DK-010,PDH3,1,1,2018/3/1 12:00:00
DK-009,PDH3,1,1,2018/3/1 12:00:00
DK-008,PDH3,1,1,2018/3/1 12:00:00
DK-007,PDH3,1,1,2018/3/1 12:00:00
DK-003,PDH3,1,1,2018/3/1 12:00:00
DK-011,PDH3,1,1,2018/3/1 12:00:00
DK-004,PDH3,1,1,2018/3/1 12:00:00
DK-002,PDH3,1,1,2018/3/1 12:00:00
DK-001,PDH3,1,1,2018/3/1 12:00:00
DK-012,PDAQ,1,1,2018/3/1 12:00:00
DK-010,PDAQ,1,1,2018/3/1 12:00:00
DK-009,PDAQ,1,1,2018/3/1 12:00:00
DK-008,PDAQ,1,1,2018/3/1 12:00:00
DK-007,PDAQ,1,1,2018/3/1 12:00:00
DK-003,PDAQ,1,1,2018/3/1 12:00:00
DK-011,PDAQ,1,1,2018/3/1 12:00:00
DK-004,PDAQ,1,1,2018/3/1 12:00:00
DK-002,PDAQ,1,1,2018/3/1 12:00:00
DK-001,PDAQ,1,1,2018/3/1 12:00:00
PL-016,PDPW,1,1,2018/3/1 12:00:00
PL-010,PDPW,1,1,2018/3/1 12:00:00
PL-016,PDPJ,1,1,2018/3/1 12:00:00
PL-010,PDPJ,1,1,2018/3/1 12:00:00
PL-022,PDQK,1,1,2018/3/1 12:00:00
ME-005,PDTH,1,1,2018/3/1 12:00:00
ME-004,PDTH,1,1,2018/3/1 12:00:00
ME-005,PDTG,1,1,2018/3/1 12:00:00
ME-004,PDTG,1,1,2018/3/1 12:00:00
by-man,PDIS,1,1,2018/3/1 12:00:00
by-man,PDIT,1,1,2018/3/1 12:00:00
by-man,PDIU,1,1,2018/3/1 12:00:00
SB-001,PDGA,1,1,2018/3/1 12:00:00
PL-003,PDPP,1,1,2018/3/1 12:00:00
PL-003,PDPX,1,1,2018/3/1 12:00:00
PL-023,PDQP,1,1,2018/3/1 12:00:00
PL-018,PDQP,1,1,2018/3/1 12:00:00
DBCDBC,PDMA,1,1,2018/3/1 12:00:00
DBCDBC,PDMB,1,1,2018/3/1 12:00:00
DBCDBC,PDMC,1,1,2018/3/1 12:00:00
DBCDBC,PDMD,1,1,2018/3/1 12:00:00
EX-017,PDEB,1,1,2018/3/1 12:00:00
EX-015,PDEB,1,1,2018/3/1 12:00:00
EX-012,PDEB,1,1,2018/3/1 12:00:00
EX-007,PDEB,1,1,2018/3/1 12:00:00
EX-002,PDEB,1,1,2018/3/1 12:00:00
EX-006,PDEB,1,1,2018/3/1 12:00:00
EX-004,PDEB,1,1,2018/3/1 12:00:00
EX-017,PDEA,1,1,2018/3/1 12:00:00
EX-015,PDEA,1,1,2018/3/1 12:00:00
EX-012,PDEA,1,1,2018/3/1 12:00:00
EX-007,PDEA,1,1,2018/3/1 12:00:00
EX-002,PDEA,1,1,2018/3/1 12:00:00
EX-006,PDEA,1,1,2018/3/1 12:00:00
EX-004,PDEA,1,1,2018/3/1 12:00:00
DM-004,PDDR,1,1,2018/3/1 12:00:00
ES-001,PDQ1,1,1,2018/3/1 12:00:00
LS-061,BXC6,1,1,2018/3/1 12:00:00
LS-022,BXC6,1,1,2018/3/1 12:00:00
LS-065,BXBT,1,1,2018/3/1 12:00:00
LS-063,BXBT,1,1,2018/3/1 12:00:00
LS-055,BXBT,1,1,2018/3/1 12:00:00
LS-054,BXBT,1,1,2018/3/1 12:00:00
LS-052,BXBT,1,1,2018/3/1 12:00:00
LS-051,BXBT,1,1,2018/3/1 12:00:00
LS-044,BXBT,1,1,2018/3/1 12:00:00
LS-033,BXBT,1,1,2018/3/1 12:00:00
LS-031,BXBT,1,1,2018/3/1 12:00:00
LS-026,BXBT,1,1,2018/3/1 12:00:00
LS-025,BXBT,1,1,2018/3/1 12:00:00
LS-065,BXBF,1,1,2018/3/1 12:00:00
LS-063,BXBF,1,1,2018/3/1 12:00:00
LS-055,BXBF,1,1,2018/3/1 12:00:00
LS-054,BXBF,1,1,2018/3/1 12:00:00
LS-052,BXBF,1,1,2018/3/1 12:00:00
LS-051,BXBF,1,1,2018/3/1 12:00:00
LS-044,BXBF,1,1,2018/3/1 12:00:00
LS-033,BXBF,1,1,2018/3/1 12:00:00
LS-031,BXBF,1,1,2018/3/1 12:00:00
LS-026,BXBF,1,1,2018/3/1 12:00:00
LS-025,BXBF,1,1,2018/3/1 12:00:00
LS-065,BXBN,1,1,2018/3/1 12:00:00
LS-063,BXBN,1,1,2018/3/1 12:00:00
LS-055,BXBN,1,1,2018/3/1 12:00:00
LS-054,BXBN,1,1,2018/3/1 12:00:00
LS-052,BXBN,1,1,2018/3/1 12:00:00
LS-051,BXBN,1,1,2018/3/1 12:00:00
LS-044,BXBN,1,1,2018/3/1 12:00:00
LS-033,BXBN,1,1,2018/3/1 12:00:00
LS-031,BXBN,1,1,2018/3/1 12:00:00
LS-026,BXBN,1,1,2018/3/1 12:00:00
LS-025,BXBN,1,1,2018/3/1 12:00:00
LS-065,BXBM,1,1,2018/3/1 12:00:00
LS-063,BXBM,1,1,2018/3/1 12:00:00
LS-055,BXBM,1,1,2018/3/1 12:00:00
LS-054,BXBM,1,1,2018/3/1 12:00:00
LS-052,BXBM,1,1,2018/3/1 12:00:00
LS-051,BXBM,1,1,2018/3/1 12:00:00
LS-044,BXBM,1,1,2018/3/1 12:00:00
LS-033,BXBM,1,1,2018/3/1 12:00:00
LS-031,BXBM,1,1,2018/3/1 12:00:00
LS-026,BXBM,1,1,2018/3/1 12:00:00
LS-025,BXBM,1,1,2018/3/1 12:00:00
FT-093,BTA1,1,1,2018/3/1 12:00:00
FT-086,BTA1,1,1,2018/3/1 12:00:00
FT-056,BTA1,1,1,2018/3/1 12:00:00
FT-044,BTA1,1,1,2018/3/1 12:00:00
FT-092,BTA1,1,1,2018/3/1 12:00:00
FT-091,BTA1,1,1,2018/3/1 12:00:00
FT-081,BTA1,1,1,2018/3/1 12:00:00
FT-078,BTA1,1,1,2018/3/1 12:00:00
FT-076,BTA1,1,1,2018/3/1 12:00:00
FT-089,BTA1,1,1,2018/3/1 12:00:00
FT-088,BTA1,1,1,2018/3/1 12:00:00
FT-087,BTA1,1,1,2018/3/1 12:00:00
FT-084,BTA1,1,1,2018/3/1 12:00:00
FT-083,BTA1,1,1,2018/3/1 12:00:00
FT-079,BTA1,1,1,2018/3/1 12:00:00
FT-077,BTA1,1,1,2018/3/1 12:00:00
FT-072,BTA1,1,1,2018/3/1 12:00:00
FT-066,BTA1,1,1,2018/3/1 12:00:00
FT-057,BTA1,1,1,2018/3/1 12:00:00
FT-055,BTA1,1,1,2018/3/1 12:00:00
FT-093,BTA2,1,1,2018/3/1 12:00:00
FT-086,BTA2,1,1,2018/3/1 12:00:00
FT-056,BTA2,1,1,2018/3/1 12:00:00
FT-044,BTA2,1,1,2018/3/1 12:00:00
FT-092,BTA2,1,1,2018/3/1 12:00:00
FT-091,BTA2,1,1,2018/3/1 12:00:00
FT-081,BTA2,1,1,2018/3/1 12:00:00
FT-078,BTA2,1,1,2018/3/1 12:00:00
FT-076,BTA2,1,1,2018/3/1 12:00:00
FT-089,BTA2,1,1,2018/3/1 12:00:00
FT-088,BTA2,1,1,2018/3/1 12:00:00
FT-087,BTA2,1,1,2018/3/1 12:00:00
FT-084,BTA2,1,1,2018/3/1 12:00:00
FT-083,BTA2,1,1,2018/3/1 12:00:00
FT-079,BTA2,1,1,2018/3/1 12:00:00
FT-077,BTA2,1,1,2018/3/1 12:00:00
FT-072,BTA2,1,1,2018/3/1 12:00:00
FT-066,BTA2,1,1,2018/3/1 12:00:00
FT-057,BTA2,1,1,2018/3/1 12:00:00
FT-055,BTA2,1,1,2018/3/1 12:00:00
MS-040,BXBX,1,1,2018/3/1 12:00:00
MS-039,BXBX,1,1,2018/3/1 12:00:00
MS-032,BXBX,1,1,2018/3/1 12:00:00
MS-031,BXBX,1,1,2018/3/1 12:00:00
MS-019,BXBX,1,1,2018/3/1 12:00:00
MS-017,BXBX,1,1,2018/3/1 12:00:00
MS-018,BXBX,1,1,2018/3/1 12:00:00
MS-016,BXBX,1,1,2018/3/1 12:00:00
MS-026,BXBX,1,1,2018/3/1 12:00:00
MS-020,BXBX,1,1,2018/3/1 12:00:00
MS-027,BXBX,1,1,2018/3/1 12:00:00
MS-040,BXBY,1,1,2018/3/1 12:00:00
MS-039,BXBY,1,1,2018/3/1 12:00:00
MS-032,BXBY,1,1,2018/3/1 12:00:00
MS-031,BXBY,1,1,2018/3/1 12:00:00
