作業方法,製程,製程名稱,lastUpdatedDate,順序
PDGF,PDGF,PDGF,2018/3/1 12:00:00,1
PDCA,PDCA,PDCA,2018/3/1 12:00:00,2
PDSA,PDSA,PDSA,2018/3/1 12:00:00,4
PDPS,PDPS,PDPS,2018/3/1 12:00:00,5
PDBA,PDBA,PDBA,2018/3/1 12:00:00,6
PDEE,PDEE,PDEE,2018/3/1 12:00:00,7
PDDC,PDDC,PDDC,2018/3/1 12:00:00,8
PDPA,PDPA,PDPA,2018/3/1 12:00:00,9
PDTH,PDTH,PDTH,2018/3/1 12:00:00,10
PDIS,PDIS,PDIS,2018/3/1 12:00:00,11
PDMA,PDMA,PDMA,2018/3/1 12:00:00,12
PDIA,PDIA,PDIA,2018/3/1 12:00:00,14
PDEA,PDEA,PDEA,2018/3/1 12:00:00,15
PDDT,PDDT,PDDT,2018/3/1 12:00:00,16
PDAL,PDAL,PDAL,2018/3/1 12:00:00,18
PDMC,PDMC,PDMC,2018/3/1 12:00:00,19
PDEB,PDEB,PDEB,2018/3/1 12:00:00,21
PDDU,PDDU,PDDU,2018/3/1 12:00:00,22
PDGA,PDGA,PDGA,2018/3/1 12:00:00,24
PDQ1,PDQ1,PDQ1,2018/3/1 12:00:00,25
PDIT,PDIT,PDIT,2018/3/1 12:00:00,26
BXBF,BXBF,BXBF,2018/3/1 12:00:00,27
BXBB,BXBB,BXBB,2018/3/1 12:00:00,28
BTB2,BTB2,BTB2,2018/3/1 12:00:00,29
BTA1,BTA1,BTA1,2018/3/1 12:00:00,30
BXAL,BXAL,BXAL,2018/3/1 12:00:00,31
BXC9,BXC9,BXC9,2018/3/1 12:00:00,32
BXBX,BXBX,BXBX,2018/3/1 12:00:00,33
BXBY,BXBY,BXBY,2018/3/1 12:00:00,34
BXC1,BXC1,BXC1,2018/3/1 12:00:00,35
BXC2,BXC2,BXC2,2018/3/1 12:00:00,36
BXAE-A,BXAE-A,BXAE-A,2018/3/1 12:00:00,37
BXBW-A,BXBW-A,BXBW-A,2018/3/1 12:00:00,38
BXC3,BXC3,BXC3,2018/3/1 12:00:00,39
BQAG,BQAG,BQAG,2018/3/1 12:00:00,40
PDRF,PDRF,PDRF,2018/3/1 12:00:00,5
PDAB,PDAB,PDAB,2018/3/1 12:00:00,12
PDMC,PDMC,PDMC,2018/3/1 12:00:00,13
PDMA,PDMA,PDMA,2018/3/1 12:00:00,18
PDIA,PDIA,PDIA,2018/3/1 12:00:00,20
PDH3,PDH3,PDH3,2018/3/1 12:00:00,21
PDDR,PDDR,PDDR,2018/3/1 12:00:00,22
PDEZ,PDEZ,PDEZ,2018/3/1 12:00:00,23
PDGA,PDGA,PDGA,2018/3/1 12:00:00,25
PDQ1,PDQ1,PDQ1,2018/3/1 12:00:00,26
PDIT,PDIT,PDIT,2018/3/1 12:00:00,27
BXAL,BXAL,BXAL,2018/3/1 12:00:00,28
BXBF,BXBF,BXBF,2018/3/1 12:00:00,29
BXBB,BXBB,BXBB,2018/3/1 12:00:00,30
BTB2,BTB2,BTB2,2018/3/1 12:00:00,31
BTB4,BTB4,BTB4,2018/3/1 12:00:00,32
BTA1,BTA1,BTA1,2018/3/1 12:00:00,33
BXC9,BXC9,BXC9,2018/3/1 12:00:00,34
BXBX,BXBX,BXBX,2018/3/1 12:00:00,35
BXBY,BXBY,BXBY,2018/3/1 12:00:00,36
BXC1,BXC1,BXC1,2018/3/1 12:00:00,37
BXC2,BXC2,BXC2,2018/3/1 12:00:00,38
BXAE-A,BXAE-A,BXAE-A,2018/3/1 12:00:00,39
BXBW-A,BXBW-A,BXBW-A,2018/3/1 12:00:00,40
BXC3,BXC3,BXC3,2018/3/1 12:00:00,41
BQAG,BQAG,BQAG,2018/3/1 12:00:00,42
PDCA,PDCA,PDCA,2018/3/1 12:00:00,1
PDSA,PDSA,PDSA,2018/3/1 12:00:00,3
PDRF,PDRF,PDRF,2018/3/1 12:00:00,4
PDBA,PDBA,PDBA,2018/3/1 12:00:00,5
PDEE,PDEE,PDEE,2018/3/1 12:00:00,6
